Accuracy Level,R² Score,Arrival Rate (calls/sec),Predictive Blocking Prob,Non-Predictive Blocking Prob,Blocking Improvement,Predictive Handoffs,Non-Predictive Handoffs,Predictive Handoff Prob,Non-Predictive Handoff Prob
High Accuracy,0.9983497229423528,0.6,0.150,0.152,1.5%,432,1189,0.314,0.697
High Accuracy,0.9983497229423528,2.0,0.443,0.445,0.4%,1759,2246,0.472,0.671
High Accuracy,0.9983497229423528,4.0,0.689,0.691,0.3%,2410,2526,0.587,0.674
High Accuracy,0.9983497229423528,6.0,0.791,0.790,-0.1%,2463,2479,0.605,0.666
High Accuracy,0.9983497229423528,8.0,0.842,0.842,0.1%,2488,2525,0.624,0.670
High Accuracy,0.9983497229423528,10.0,0.873,0.873,0.0%,2533,2520,0.632,0.679
Medium Accuracy,0.47684493686299045,0.6,0.151,0.151,-0.3%,490,1217,0.395,0.683
Medium Accuracy,0.47684493686299045,2.0,0.451,0.437,-3.2%,1879,2273,0.549,0.674
Medium Accuracy,0.47684493686299045,4.0,0.687,0.690,0.4%,2653,2487,0.661,0.671
Medium Accuracy,0.47684493686299045,6.0,0.791,0.790,-0.2%,2727,2485,0.681,0.671
Medium Accuracy,0.47684493686299045,8.0,0.841,0.844,0.3%,2693,2503,0.689,0.663
Medium Accuracy,0.47684493686299045,10.0,0.872,0.873,0.0%,2680,2558,0.686,0.674
Poor Accuracy,0.28504846214465007,0.6,0.152,0.154,1.5%,545,1201,0.704,0.687
Poor Accuracy,0.28504846214465007,2.0,0.447,0.440,-1.5%,2580,2251,0.915,0.677
Poor Accuracy,0.28504846214465007,4.0,0.688,0.690,0.4%,3493,2574,0.945,0.690
Poor Accuracy,0.28504846214465007,6.0,0.792,0.790,-0.2%,3547,2526,0.951,0.669
Poor Accuracy,0.28504846214465007,8.0,0.843,0.844,0.0%,3493,2456,0.956,0.658
Poor Accuracy,0.28504846214465007,10.0,0.875,0.875,-0.0%,3457,2516,0.951,0.675
